number_of_room,neighbourhood,material_quality,age,distance,number_of_bathroom,area,balcony,thermal_insulation_point,air_quality,price
3,Moderate,B,22.41,660.0,1,133.0,yes,31.1,26.4,436.7
1,Very High,A,6.53,711.0,1,70.0,yes,28.4,31.8,446.1
2,Moderate,C,19.05,676.0,1,107.0,yes,32.7,18.6,403.0
4,Very High,A,6.42,479.0,1,119.0,yes,28.2,31.2,997.8
2,Low,D,28.68,612.0,1,136.0,yes,43.1,18.3,451.2
3,Low,C,21.46,701.0,1,92.0,yes,23.8,33.6,218.0
3,Moderate,A,18.55,665.0,1,119.0,yes,30.4,18.5,454.3
4,High,A,9.5,587.0,2,146.0,yes,41.9,37.9,757.9
3,Very Low,C,22.49,467.0,1,99.0,yes,23.8,21.6,625.3
3,Moderate,C,23.9,676.0,1,81.0,yes,27.6,33.3,320.4
1,Very High,C,3.66,585.0,1,39.0,yes,24.2,27.8,672.7
1,Very High,C,4.62,556.0,1,38.0,yes,25.3,34.3,706.2
2,Moderate,A,17.47,707.0,1,74.0,yes,21.5,28.2,271.5
2,Moderate,B,16.73,538.0,1,67.0,yes,21.1,50.1,529.7
1,Very High,A,7.6,655.0,1,53.0,no,31.0,25.8,551.0
1,Very High,C,4.53,674.0,1,42.0,no,25.2,40.5,469.5
3,Moderate,B,29.9,615.0,1,71.0,yes,27.8,30.8,400.5
2,Moderate,B,17.77,695.0,1,116.0,no,30.4,28.2,352.4
4,Moderate,A,4.19,701.0,2,157.0,yes,24.8,26.1,508.2
3,Moderate,B,28.42,629.0,1,75.0,yes,24.2,42.2,348.1
3,Moderate,B,20.72,615.0,1,139.0,yes,22.3,24.8,524.2
4,High,C,7.94,671.0,2,123.0,yes,32.1,25.6,597.5
2,Moderate,B,15.85,576.0,1,146.0,no,33.5,25.5,632.6
4,Very High,C,7.34,577.0,2,152.0,yes,30.3,23.9,880.4
4,High,B,8.75,663.0,1,136.0,yes,35.6,20.9,623.9
4,Very High,A,6.48,614.0,2,166.0,no,28.3,17.9,841.0
3,Moderate,C,13.76,349.0,1,138.0,yes,29.3,61.2,982.6
4,Very High,C,1.93,670.0,2,139.0,yes,22.5,20.0,715.4
4,Moderate,B,7.68,637.0,2,177.0,no,31.2,43.1,597.5
3,Moderate,C,9.71,659.0,1,75.0,yes,23.8,20.2,452.6
4,Very High,B,4.38,469.0,1,149.0,yes,25.0,36.0,1038.6
3,Moderate,B,26.56,646.0,1,105.0,no,23.7,49.9,334.2
3,Moderate,B,26.26,526.0,1,96.0,yes,26.9,22.5,635.2
3,Very Low,A,18.67,676.0,1,116.0,yes,28.5,42.1,220.2
2,Low,A,13.94,679.0,1,126.0,yes,27.0,38.0,309.6
2,Very High,A,17.66,675.0,1,144.0,no,23.7,41.5,511.7
4,Very High,B,2.18,620.0,2,151.0,,22.7,21.8,816.6
4,High,B,8.45,634.0,2,141.0,yes,34.0,31.7,670.3
4,Very High,B,3.02,567.0,1,190.0,yes,23.5,17.7,947.3
4,Very High,C,4.38,687.0,2,151.0,yes,25.0,17.9,692.3
3,Low,A,22.53,459.0,1,71.0,yes,21.7,20.3,682.6
1,Very High,B,3.01,664.0,1,46.0,,23.5,41.7,494.3
3,Moderate,C,30.36,636.0,1,69.0,yes,21.6,26.6,355.0
4,High,A,3.44,642.0,1,155.0,no,23.9,56.8,591.7
4,Very High,A,7.09,648.0,2,113.0,,29.6,22.1,711.3
3,Moderate,B,16.82,420.0,1,145.0,yes,46.5,47.2,910.0
3,Moderate,A,9.48,615.0,1,78.0,no,27.9,43.2,486.5
2,Moderate,C,22.94,653.0,1,127.0,,23.2,46.1,352.1
2,Moderate,C,18.77,642.0,1,104.0,yes,28.5,26.6,436.1
1,Very High,B,6.27,673.0,1,61.0,yes,27.9,38.3,492.2
4,Very High,C,8.26,347.0,2,168.0,yes,33.2,74.6,1197.2
3,Very Low,C,15.38,574.0,1,117.0,no,26.3,56.0,391.2
1,Very High,A,9.11,670.0,1,38.0,no,37.9,30.3,500.9
3,Very Low,C,8.06,665.0,1,112.0,yes,24.8,15.9,358.8
1,Very High,B,2.86,581.0,1,48.0,yes,23.4,37.1,667.0
2,Low,C,25.31,632.0,1,88.0,yes,26.1,34.4,306.3
4,Very High,C,9.22,693.0,2,144.0,yes,38.9,35.3,628.1
3,Low,B,31.23,630.0,1,95.0,yes,30.0,26.3,334.2
3,Low,A,13.96,661.0,1,86.0,no,25.8,32.5,336.2
2,Low,,10.56,569.0,1,88.0,yes,25.8,24.8,532.5
3,Moderate,B,17.22,580.0,1,103.0,yes,28.3,19.8,599.4
4,Very High,C,4.48,687.0,1,145.0,yes,25.2,17.1,671.3
3,Low,C,18.94,531.0,1,65.0,,26.6,27.2,550.7
1,Very High,A,9.71,699.0,1,54.0,yes,45.8,20.1,501.8
1,High,B,9.32,599.0,1,70.0,no,39.9,27.4,607.5
1,Very High,B,8.41,692.0,1,73.0,yes,33.9,49.1,439.2
4,High,A,1.27,586.0,2,133.0,yes,22.0,26.7,782.5
3,Very High,A,24.77,659.0,1,71.0,no,26.7,31.4,483.3
4,Very High,B,3.66,677.0,2,182.0,,24.2,34.6,699.6
2,Moderate,C,21.69,573.0,1,112.0,yes,38.0,40.5,540.7
2,Moderate,B,8.91,336.0,1,127.0,yes,23.6,20.2,1102.3
3,Moderate,B,22.88,621.0,1,88.0,yes,39.7,31.1,467.7
4,High,C,2.38,638.0,2,164.0,,22.9,25.3,714.2
2,Moderate,B,23.0,665.0,1,125.0,yes,24.8,24.8,387.6
1,High,D,9.6,697.0,1,46.0,yes,43.5,30.8,393.7
4,Very High,D,5.95,693.0,1,146.0,no,27.3,23.1,640.8
2,Very High,B,17.13,691.0,1,97.0,no,39.8,45.5,458.6
4,High,B,5.39,683.0,2,133.0,yes,26.4,31.5,571.4
2,High,B,22.98,649.0,1,101.0,,,75.0,325.6
3,Moderate,B,11.22,687.0,1,124.0,yes,29.7,27.1,433.2
4,Very High,A,5.22,620.0,2,152.0,no,26.2,44.6,746.3
4,Very High,B,5.05,628.0,2,155.0,yes,25.9,52.6,712.8
3,Moderate,B,18.37,689.0,1,63.0,yes,22.0,32.8,298.3
4,High,A,1.45,607.0,2,170.0,no,22.1,31.1,767.0
1,High,B,9.3,702.0,1,38.0,yes,39.6,26.3,382.2
2,High,C,11.18,523.0,1,118.0,no,42.9,20.6,834.0
3,Moderate,A,20.77,611.0,1,127.0,yes,44.7,35.8,534.6
4,Very High,,3.58,487.0,2,176.0,yes,24.1,62.8,978.6
2,Moderate,B,26.23,689.0,1,112.0,yes,21.3,23.5,307.8
4,High,D,5.54,686.0,2,176.0,yes,26.7,26.2,622.8
4,Very High,A,7.36,703.0,2,116.0,yes,30.3,60.4,506.3
4,High,C,6.48,687.0,2,162.0,yes,28.3,28.2,599.5
3,Very High,C,6.92,623.0,1,63.0,yes,21.4,24.7,649.3
2,Moderate,A,21.04,694.0,1,82.0,yes,22.9,36.5,264.9
2,Moderate,C,26.02,673.0,1,126.0,no,29.6,23.5,369.9
4,Very High,B,0.55,645.0,2,135.0,yes,21.4,42.5,703.5
4,High,B,8.46,589.0,2,152.0,yes,34.1,20.2,798.0
3,Moderate,B,22.6,633.0,1,100.0,yes,,32.8,479.6
3,Low,B,32.29,635.0,1,128.0,yes,23.0,27.6,334.4
2,Low,A,20.46,653.0,1,120.0,no,21.4,17.5,361.3
4,Very High,C,9.8,710.0,1,187.0,yes,48.3,45.8,609.0
4,Very High,,7.67,612.0,2,181.0,yes,31.2,20.0,853.4
1,High,A,4.54,631.0,1,38.0,yes,25.2,37.5,484.3
2,Moderate,A,36.27,672.0,1,144.0,yes,25.6,27.9,313.6
4,High,B,9.16,532.0,2,134.0,yes,38.3,22.6,886.4
4,Very High,C,3.56,672.0,2,151.0,yes,24.1,22.0,712.4
2,High,A,21.66,481.0,1,134.0,,21.4,21.4,827.0
2,Very High,B,12.4,451.0,1,123.0,yes,27.7,37.0,965.4
3,High,A,20.02,636.0,1,148.0,yes,23.6,83.5,412.2
3,Moderate,B,16.26,599.0,1,80.0,yes,29.0,32.1,513.8
1,Very High,A,9.48,583.0,1,39.0,yes,41.7,20.1,700.3
4,High,C,3.61,658.0,2,117.0,yes,24.1,56.7,540.1
3,Very Low,B,29.61,668.0,1,70.0,yes,23.0,28.3,155.5
4,Very High,C,0.53,697.0,2,161.0,yes,21.4,34.6,652.2
2,Moderate,A,32.65,695.0,1,119.0,,33.5,32.4,268.4
4,High,B,0.78,585.0,2,121.0,yes,21.6,58.8,687.7
4,High,A,9.52,365.0,2,171.0,yes,42.3,19.9,1254.0
2,Very High,C,33.26,588.0,1,120.0,yes,29.6,26.9,618.4
4,Very High,C,9.12,716.0,2,116.0,yes,38.0,33.6,559.7
4,Very High,B,8.14,576.0,2,136.0,yes,32.8,22.8,869.9
4,High,C,1.91,674.0,2,164.0,yes,22.5,32.0,629.5
1,High,C,1.76,680.0,1,45.0,no,22.4,49.5,375.5
1,High,B,9.61,683.0,1,69.0,yes,43.8,23.6,463.3
4,Moderate,B,2.91,624.0,2,151.0,yes,23.4,38.1,620.3
2,High,A,26.7,697.0,1,116.0,yes,31.9,29.3,370.5
3,Moderate,A,20.33,697.0,1,67.0,yes,22.3,17.9,317.2
2,Moderate,C,17.19,667.0,1,94.0,yes,23.5,34.4,356.3
4,Moderate,C,6.73,590.0,2,162.0,yes,28.8,32.7,700.3
3,Low,B,13.32,680.0,1,98.0,yes,23.0,53.5,253.3
4,Very High,B,7.52,424.0,1,158.0,yes,30.8,25.5,1155.8
1,High,B,8.79,616.0,1,74.0,yes,35.8,30.8,564.7
3,Low,C,26.12,689.0,1,136.0,yes,23.7,27.3,275.9
1,High,C,2.99,665.0,1,36.0,yes,23.5,47.2,396.6
4,Very High,C,0.28,597.0,1,168.0,yes,21.2,38.3,823.2
3,Very Low,C,12.44,687.0,1,126.0,yes,24.8,25.1,282.1
1,Very High,B,0.65,593.0,1,61.0,yes,21.5,19.8,712.3
1,Very High,A,5.75,611.0,1,52.0,yes,27.0,23.0,643.4
3,High,A,19.52,336.0,1,80.0,yes,29.2,20.1,1099.4
1,High,C,5.68,592.0,1,66.0,yes,26.9,27.3,611.0
2,Moderate,B,22.95,679.0,1,124.0,yes,27.5,22.6,371.7
3,Low,A,24.49,632.0,1,119.0,yes,27.4,24.8,390.3
3,Moderate,A,11.49,603.0,1,89.0,yes,37.3,16.4,600.4
3,Very Low,C,12.52,675.0,1,89.0,yes,26.3,37.5,237.0
3,Low,A,13.03,257.0,1,79.0,yes,34.8,25.0,1140.1
3,Moderate,A,27.41,686.0,1,118.0,yes,24.0,34.7,308.2
3,Moderate,B,13.3,696.0,1,111.0,no,22.1,30.0,368.7
2,Moderate,C,14.91,624.0,1,104.0,yes,22.8,20.5,496.6
2,Moderate,C,25.63,609.0,1,141.0,yes,32.0,21.0,520.2
4,Very High,A,2.3,630.0,2,143.0,yes,22.8,19.0,796.7
2,Moderate,C,27.99,641.0,1,135.0,yes,31.4,26.9,423.3
2,Very High,A,34.79,672.0,1,94.0,yes,37.3,27.4,438.5
2,Moderate,B,21.4,689.0,1,120.0,yes,26.5,17.0,370.3
3,Very Low,C,28.14,670.0,1,149.0,no,22.1,20.5,258.1
1,Very High,B,6.23,643.0,1,43.0,yes,27.8,25.7,565.2
1,High,C,3.79,653.0,1,51.0,yes,24.3,26.0,488.9
3,Very Low,C,8.97,647.0,1,102.0,yes,37.7,25.5,377.9
2,Very Low,B,26.04,670.0,1,71.0,no,22.8,19.5,175.7
3,Very High,A,27.75,468.0,1,66.0,no,22.9,27.1,828.8
4,Very High,B,4.82,681.0,2,142.0,yes,25.6,25.6,672.7
3,Moderate,B,28.54,655.0,1,110.0,yes,25.8,25.3,381.8
3,High,A,18.36,679.0,1,90.0,yes,22.5,22.7,443.6
3,Low,D,31.85,648.0,1,108.0,no,24.3,22.3,309.0
1,High,B,6.68,628.0,1,62.0,,28.7,27.1,537.3
3,Moderate,C,33.34,693.0,1,81.0,yes,25.5,30.3,240.1
3,Moderate,B,21.96,619.0,1,128.0,yes,21.4,46.8,437.6
3,High,C,22.31,599.0,1,105.0,yes,24.8,45.4,532.2
1,Very High,B,4.16,699.0,1,48.0,no,24.8,24.9,471.4
2,Moderate,B,19.53,638.0,1,129.0,yes,25.2,25.4,461.2
4,Very High,B,0.24,687.0,2,176.0,yes,21.2,77.0,572.9
2,Very Low,A,19.8,602.0,1,136.0,yes,23.2,30.7,374.8
3,High,C,21.9,576.0,1,149.0,yes,42.0,26.4,707.9
4,Moderate,B,8.83,459.0,2,167.0,yes,36.0,23.9,980.8
2,Moderate,A,12.84,657.0,1,110.0,no,40.8,30.0,461.7
1,Very High,B,7.59,629.0,1,66.0,yes,31.0,42.0,569.8
4,High,A,4.34,603.0,2,118.0,yes,25.0,26.2,725.7
3,Moderate,C,12.2,666.0,1,61.0,yes,40.4,42.8,383.7
3,Low,D,19.91,623.0,1,74.0,,23.5,19.1,395.2
1,Very High,C,5.93,595.0,1,41.0,yes,27.3,30.6,641.9
3,Moderate,B,18.13,686.0,1,147.0,yes,27.2,26.2,417.5
1,High,A,4.41,649.0,1,71.0,yes,25.1,27.3,511.1
2,High,C,28.61,623.0,1,148.0,,23.0,31.7,508.4
4,Very High,B,3.3,475.0,1,177.0,yes,23.8,28.3,1079.5
1,Very High,D,6.43,604.0,1,51.0,yes,28.2,25.5,647.6
2,Moderate,D,20.3,675.0,1,98.0,yes,23.3,30.0,339.4
4,High,C,3.46,616.0,2,145.0,no,24.0,18.1,752.7
4,Very High,B,3.54,598.0,1,140.0,,24.1,17.5,837.3
3,Moderate,B,15.0,690.0,1,149.0,yes,23.7,26.0,422.7
4,Very High,C,8.29,636.0,2,183.0,no,33.3,27.5,790.4
3,Moderate,B,9.18,693.0,1,64.0,yes,26.5,22.0,380.4
3,Low,A,19.42,395.0,1,101.0,yes,21.1,25.5,836.0
4,Very High,B,7.42,655.0,2,154.0,no,30.5,51.5,659.6
2,Moderate,C,14.21,518.0,1,130.0,yes,25.9,62.0,622.0
4,Very High,,7.79,678.0,1,130.0,yes,31.6,46.0,590.0
1,High,B,4.95,589.0,1,55.0,,25.8,35.1,586.5
4,Very High,A,3.11,418.0,2,112.0,yes,23.6,30.2,1135.4
3,Moderate,B,9.07,523.0,1,78.0,yes,33.8,22.7,730.7
3,High,D,35.33,631.0,1,75.0,no,22.3,20.6,431.8
3,Low,A,8.18,691.0,1,127.0,,23.3,46.1,310.2
3,High,,33.62,645.0,1,104.0,yes,25.6,37.0,405.9
4,High,C,8.6,592.0,2,127.0,no,34.8,29.7,742.3
1,Very High,C,1.15,429.0,1,57.0,yes,21.9,24.2,1006.0
3,High,C,43.71,562.0,1,103.0,yes,23.9,29.5,523.9
4,High,,5.32,641.0,2,157.0,yes,26.3,29.7,680.3
4,Very High,B,6.78,694.0,1,123.0,yes,28.9,20.2,622.4
2,Very High,B,22.74,638.0,1,132.0,no,21.8,19.1,598.8
2,Moderate,C,18.84,652.0,1,113.0,yes,30.9,43.6,384.7
4,Very High,C,5.57,655.0,2,177.0,no,26.7,33.6,733.5
2,Low,C,26.79,677.0,1,140.0,yes,26.1,27.3,283.8
1,Very High,,3.81,684.0,1,44.0,yes,24.4,28.9,486.2
4,Very High,B,3.15,659.0,1,172.0,,23.6,33.3,711.9
3,Low,B,15.65,452.0,1,136.0,yes,36.5,68.7,697.6
4,High,C,9.94,690.0,2,124.0,yes,56.6,43.2,552.9
3,High,B,23.41,737.0,1,67.0,yes,22.3,25.0,276.0
3,Very High,C,27.48,528.0,1,119.0,yes,22.7,28.0,766.5
3,Moderate,C,13.14,477.0,1,70.0,yes,28.7,23.5,775.4
2,Moderate,C,33.02,626.0,1,97.0,yes,31.1,23.4,395.0
4,High,B,8.23,699.0,2,171.0,yes,33.1,30.0,580.8
3,Moderate,B,22.63,704.0,1,66.0,yes,23.5,24.2,275.6
4,High,A,2.09,667.0,2,137.0,yes,22.6,18.9,650.4
4,High,B,0.73,622.0,2,148.0,yes,21.5,22.5,742.4
2,High,A,24.17,581.0,1,146.0,,24.3,41.5,586.7
4,High,B,5.62,677.0,1,127.0,no,26.8,23.3,581.5
4,High,B,8.73,553.0,2,183.0,yes,35.4,67.9,769.8
3,High,B,31.47,539.0,1,117.0,yes,21.2,31.1,639.2
3,Very Low,B,12.18,492.0,1,136.0,yes,21.7,34.7,631.9
1,,A,6.53,664.0,1,54.0,yes,28.4,36.9,434.7
4,Very High,A,6.71,682.0,2,171.0,yes,28.8,26.4,693.6
2,Low,C,13.21,651.0,1,67.0,yes,21.9,17.1,354.1
3,High,B,24.19,693.0,1,74.0,no,21.7,31.9,342.5
1,Very High,A,0.28,583.0,1,62.0,yes,21.2,22.2,727.2
1,Very High,B,6.49,573.0,1,75.0,no,28.3,41.5,687.2
3,High,C,24.78,534.0,1,144.0,yes,23.3,24.2,735.4
3,Moderate,A,20.41,576.0,1,74.0,yes,22.9,35.2,508.1
3,Moderate,B,21.34,594.0,1,98.0,no,28.6,40.3,490.4
4,Very High,A,1.21,658.0,2,164.0,,21.9,26.6,748.1
4,Very High,A,5.36,350.0,2,112.0,no,26.4,23.7,1275.3
1,High,B,0.91,624.0,1,57.0,no,21.7,22.2,570.9
3,Moderate,B,20.35,646.0,1,132.0,yes,21.5,37.5,424.4
3,Moderate,B,15.28,471.0,1,65.0,yes,28.7,23.9,768.9
3,Very Low,C,12.77,543.0,1,89.0,yes,32.0,38.0,496.5
3,High,D,16.81,697.0,1,125.0,yes,25.3,49.3,386.7
3,Moderate,B,22.91,656.0,1,102.0,yes,,37.2,368.4
4,Very High,B,7.02,667.0,2,163.0,yes,29.5,41.6,672.8
3,High,C,25.12,695.0,1,141.0,,21.6,21.4,428.8
3,Low,B,13.13,584.0,1,119.0,yes,23.3,43.0,486.7
3,Very High,B,34.28,633.0,1,132.0,yes,37.5,34.6,554.3
1,Very High,A,9.49,668.0,1,48.0,no,41.8,29.8,521.7
3,High,A,38.6,630.0,1,104.0,,21.3,22.4,437.8
1,Very High,D,0.03,675.0,1,72.0,no,21.0,26.0,553.1
1,Very High,C,7.68,542.0,1,39.0,,31.2,19.5,768.7
1,Very High,C,4.52,664.0,1,56.0,yes,25.2,22.5,551.2
2,Moderate,B,23.47,660.0,1,125.0,yes,31.1,16.6,429.3
2,Very High,A,16.31,670.0,1,146.0,yes,28.2,24.8,584.7
3,Moderate,A,20.72,668.0,1,85.0,yes,25.2,40.0,334.2
3,High,B,27.58,393.0,1,117.0,yes,29.7,24.2,973.7
4,Very High,B,6.05,673.0,2,118.0,yes,27.5,26.0,659.8
3,Very Low,C,21.3,595.0,1,62.0,,21.1,25.6,335.4
4,Very High,C,4.66,575.0,2,176.0,yes,25.4,43.8,859.4
3,Very Low,B,35.33,550.0,1,75.0,,36.0,31.9,369.6
4,Very High,D,7.8,694.0,2,119.0,no,31.6,22.1,630.0
3,Moderate,C,19.96,698.0,1,88.0,no,28.4,31.9,312.7
3,Moderate,B,28.65,642.0,1,94.0,yes,27.8,38.6,358.0
2,Moderate,B,25.3,644.0,1,77.0,yes,32.9,25.9,380.1
4,Very High,B,2.91,695.0,2,155.0,,23.4,54.7,586.6
4,Very High,A,3.94,630.0,2,124.0,yes,24.5,37.4,722.3
1,High,B,6.31,671.0,1,65.0,yes,28.0,41.9,419.3
3,Low,C,37.92,612.0,1,145.0,yes,33.0,18.7,408.2
4,Very High,A,3.21,592.0,2,173.0,yes,23.7,32.8,858.4
1,Very High,A,1.68,700.0,1,59.0,yes,22.3,47.3,428.6
2,Very High,A,24.93,581.0,1,115.0,no,23.2,34.4,639.5
4,Moderate,A,4.39,711.0,2,113.0,yes,25.0,19.5,462.3
1,High,C,0.98,295.0,1,38.0,yes,21.7,29.9,1155.8
4,Very High,C,6.28,618.0,2,174.0,,27.9,30.8,806.9
3,Moderate,B,25.39,646.0,1,141.0,,36.9,50.2,402.2
4,High,A,3.42,497.0,1,165.0,no,23.9,29.5,951.0
3,High,B,16.0,604.0,1,141.0,yes,42.9,20.6,696.6
4,Very High,B,4.2,392.0,1,149.0,yes,24.8,23.9,1218.2
2,Very Low,A,20.21,689.0,1,121.0,no,26.4,24.5,215.4
3,Moderate,B,12.68,634.0,1,132.0,yes,47.3,17.5,595.0
1,Very High,B,7.1,671.0,1,51.0,yes,29.7,28.9,510.4
3,Very Low,B,44.85,510.0,1,143.0,yes,25.9,26.4,455.8
3,High,B,22.45,706.0,1,117.0,no,30.8,18.4,425.0
4,Very High,A,4.73,610.0,2,117.0,yes,25.5,44.2,732.6
4,Very High,B,7.22,385.0,2,185.0,yes,30.0,30.1,1261.5
1,High,B,2.22,659.0,1,40.0,no,22.8,18.1,493.4
1,High,B,0.77,576.0,1,36.0,yes,21.6,25.5,632.7
1,Very High,C,5.99,356.0,1,70.0,,27.4,27.8,1132.4
2,Moderate,C,20.65,728.0,1,78.0,yes,26.2,34.1,211.6
4,High,A,4.61,662.0,2,117.0,yes,25.3,21.2,625.2
3,Very Low,A,22.31,653.0,1,143.0,yes,21.9,32.0,285.0
3,Very Low,B,24.91,682.0,1,124.0,no,40.1,18.8,268.6
3,Moderate,A,26.04,595.0,1,118.0,yes,21.8,21.9,518.8
1,High,B,9.67,694.0,1,72.0,yes,45.0,20.9,454.8
3,Very Low,C,9.53,555.0,1,127.0,yes,23.7,62.2,447.5
4,Very High,B,2.82,704.0,2,148.0,,23.3,19.3,658.4
4,Moderate,B,9.4,594.0,2,174.0,no,40.7,46.8,675.7
3,Low,B,31.15,508.0,1,109.0,yes,43.6,23.4,615.5
2,Moderate,B,22.6,704.0,1,150.0,yes,29.4,27.7,342.1
4,High,B,9.55,662.0,2,117.0,yes,42.7,20.6,634.5
3,Moderate,C,21.73,641.0,1,62.0,yes,22.3,25.1,391.4
3,Moderate,B,34.87,698.0,1,75.0,yes,34.6,24.2,250.9
2,Moderate,D,24.04,664.0,1,109.0,yes,27.7,24.3,375.0
2,Moderate,C,16.54,670.0,1,149.0,yes,23.5,39.1,396.5
2,Moderate,A,16.02,684.0,1,97.0,yes,27.4,40.2,325.5
3,Low,A,27.67,648.0,1,102.0,yes,21.8,48.2,251.1
1,Very High,A,7.92,664.0,1,44.0,yes,32.0,29.2,516.0
3,Moderate,A,22.57,677.0,1,123.0,yes,28.2,24.5,392.8
2,High,A,23.13,621.0,1,83.0,,21.8,23.0,498.4
3,Low,C,13.03,613.0,1,147.0,no,22.7,15.5,533.2
3,Low,A,23.31,678.0,1,63.0,no,23.4,40.7,202.5
3,Low,B,17.4,610.0,1,92.0,no,25.5,42.5,392.5
2,Moderate,C,16.44,596.0,1,117.0,yes,22.8,47.1,482.6
2,Very Low,A,31.25,476.0,1,122.0,,23.5,22.6,559.7
4,Very High,C,5.51,516.0,2,130.0,yes,26.6,36.5,942.9
3,Very Low,B,24.16,697.0,1,66.0,no,22.1,30.6,118.4
